0,1,2,3,4,5
06 Jun 2024,US Dollar,USDGHS,14.1374,14.1516,14.1445
06 Jun 2024,Pound Sterling,GBPGHS,18.0690,18.0885,18.0788
06 Jun 2024,Swiss Franc,CHFGHS,15.8459,15.8602,15.8531
06 Jun 2024,Australian Dollar,AUDGHS,9.4140,9.4259,9.4200
06 Jun 2024,Canadian Dollar,CADGHS,10.3275,10.3375,10.3325
06 Jun 2024,Danish Krone,DKKGHS,2.0627,2.0646,2.0637
06 Jun 2024,Japanese yen,JPYGHS,0.0906,0.0907,0.0907
06 Jun 2024,New Zealand Dollar,NZDGHS,8.7563,8.7675,8.7619
06 Jun 2024,Norwegian Krone,NOKGHS,1.3370,1.3380,1.3375
06 Jun 2024,Swedish Krona,SEKGHS,1.3578,1.3588,1.3583
